"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"654","Thoothukkudi","Tamil Nadu","JEYADURAI.S.R","M","GEN",39,"DMK",311017,1,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"655","Thoothukkudi","Tamil Nadu","CYNTHIA PANDIAN.DR","F","GEN",63,"ADMK",234368,2,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"656","Thoothukkudi","Tamil Nadu","SUNTHER.M.S","M","GEN",36,"DMDK",61403,3,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"657","Thoothukkudi","Tamil Nadu","SARAVANAN.S","M","GEN",35,"BJP",27013,4,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"658","Thoothukkudi","Tamil Nadu","JEEVANKUMAR.E.Pa","M","SC",37,"BSP",6737,5,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"659","Thoothukkudi","Tamil Nadu","KANDIVEL.P","M","GEN",50,"IND",5522,6,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"660","Thoothukkudi","Tamil Nadu","RAMKUMAR.V","M","GEN",45,"IND",3010,7,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"661","Thoothukkudi","Tamil Nadu","RAMAKRISHNAN.V","M","GEN",40,"IND",1402,8,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"662","Thoothukkudi","Tamil Nadu","MUTHU.S","M","GEN",59,"IND",1246,9,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"663","Thoothukkudi","Tamil Nadu","ARUNKUMAR PUVI ARASU.S","M","GEN",30,"IND",956,10,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"664","Thoothukkudi","Tamil Nadu","MURUGAN.A","M","GEN",41,"IND",913,11,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"665","Thoothukkudi","Tamil Nadu","PONRAJ.T","M","SC",37,"IND",817,12,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"666","Thoothukkudi","Tamil Nadu","RAGHUPATHI.S","M","GEN",36,"IND",603,13,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"667","Thoothukkudi","Tamil Nadu","SUNDARAVEL.K","M","GEN",45,"IND",580,14,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"668","Thoothukkudi","Tamil Nadu","PRABHAKARAN.P","M","GEN",29,"IND",576,15,656169,949153,15,69.13205774,1750176,1373920,80740,"1023","86.16%",NA
"669","Tiruchirappalli","Tamil Nadu","KUMAR.P","M","GEN",37,"ADMK",298710,1,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"670","Tiruchirappalli","Tamil Nadu","SARUBALA.R.THONDAIMAN","F","GEN",51,"INC",294375,2,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"671","Tiruchirappalli","Tamil Nadu","VIJAYKUMAR.AMG","M","GEN",41,"DMDK",61742,3,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"672","Tiruchirappalli","Tamil Nadu","LALITHA KUMARAMANGALAM.R","F","GEN",51,"BJP",30329,4,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"673","Tiruchirappalli","Tamil Nadu","RAVI.P","M","GEN",54,"MMKA",5016,5,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"674","Tiruchirappalli","Tamil Nadu","KALYANASUNDARAM. N","M","SC",56,"BSP",4897,6,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"675","Tiruchirappalli","Tamil Nadu","MANSOOR ALI KHAN.A","M","GEN",46,"IND",2532,7,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"676","Tiruchirappalli","Tamil Nadu","ASAITHAMBI.P","M","SC",37,"CPI(ML)(L)",2401,8,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"677","Tiruchirappalli","Tamil Nadu","CHINNADURAI.A","M","SC",46,"IND",2110,9,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"678","Tiruchirappalli","Tamil Nadu","NAGENDRAN.A","M","GEN",44,"IND",1814,10,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"679","Tiruchirappalli","Tamil Nadu","MOHAMMED IQBAL. A. K. S","M","GEN",42,"IND",1512,11,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"680","Tiruchirappalli","Tamil Nadu","PALANI.P","M","SC",57,"IND",1356,12,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"681","Tiruchirappalli","Tamil Nadu","JAFARUNNISHA. A","F","GEN",42,"IND",1338,13,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"682","Tiruchirappalli","Tamil Nadu","PATHINATHAN.P","M","GEN",56,"CDF",1300,14,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"683","Tiruchirappalli","Tamil Nadu","SAMUEL SWAMIDOSS MANOJKUMAR.E","M","GEN",38,"IND",1211,15,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"684","Tiruchirappalli","Tamil Nadu","ANANTHA RAJA.V","M","GEN",43,"IND",1184,16,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"685","Tiruchirappalli","Tamil Nadu","SARAVANAN.V","M","GEN",32,"IND",1065,17,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
"686","Tiruchirappalli","Tamil Nadu","THIRUMAVALAVAN.M","M","SC",30,"IND",1018,18,718714,1067193,24,67.34620636,2722290,2279413,190964,"1013","83.23%","MDMK"
