,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
70,Amroha,Uttar Pradesh,MAUDOOD MADNI,M,GEN,36,BSP,170396,3,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,Not Given,6506000,0,0,3,1
71,Amroha,Uttar Pradesh,MOHD. NAFIS ABBASI,M,GEN,68,INC,16878,4,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,Graduate,150544930,0,0,0,0
72,Amroha,Uttar Pradesh,NIDHI TYAGI,M,GEN,32,SHS,6836,6,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,Graduate,2975690,0,0,1,1
73,Amroha,Uttar Pradesh,SUMAN,F,GEN,25,IVD,3244,8,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,Post Graduate,81985,1,0,0,0
74,Amroha,Uttar Pradesh,SHARAFAT ALI,M,GEN,57,RSP,1757,15,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,8th Pass,7113317,0,0,0,0
75,Amroha,Uttar Pradesh,RIFAQAT,M,GEN,40,NELU,845,19,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,8th Pass,1288000,0,0,0,0
76,Amroha,Uttar Pradesh,SATISH,M,GEN,28,ABHM,718,20,706982,1173915,20,60.22429222,4772006,2488265,2248392,NA,,0,10th Pass,158500,0,0,0,0
77,Aonla,Uttar Pradesh,MENKA GANDHI,F,GEN,52,BJP,216503,1,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,12th Pass,182833477,1,1,1,0
78,Aonla,Uttar Pradesh,DHARMENDRA KUMAR,M,GEN,44,SP,208822,2,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,10th Pass,3654470,0,0,2,1
79,Aonla,Uttar Pradesh,KUNWAR SARVRAJ SINGH,M,GEN,55,BSP,174353,3,705013,1310878,13,53.78174018,4448359,2830768,1536534,887,58.49,0,Post Graduate,17078923,0,0,5,0
