"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"850","Lalganj","Uttar Pradesh","DR. BALIRAM","M","SC",56,"BSP",207998,1,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"851","Lalganj","Uttar Pradesh","NEELAM SONKAR","F","SC",33,"BJP",168050,2,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"852","Lalganj","Uttar Pradesh","DAROGA PRASAD SAROJ","M","SC",60,"SP",147182,3,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"853","Lalganj","Uttar Pradesh","CHANDRA RAM ALIAS CHANDU SAROJ","M","SC",36,"IND",87777,4,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"854","Lalganj","Uttar Pradesh","RAM DAYAL ALIAS MOHAN","M","SC",32,"SBSP",13915,5,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"855","Lalganj","Uttar Pradesh","HAREE PRASAD SONKER","M","SC",50,"CPI",12957,6,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"856","Lalganj","Uttar Pradesh","SUKHNAYAN","M","SC",29,"IND",9001,7,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"857","Lalganj","Uttar Pradesh","DHARMRAJ","M","SC",55,"IND",3499,8,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"858","Lalganj","Uttar Pradesh","MANBHAWAN","M","SC",32,"BRPP",3203,9,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"859","Lalganj","Uttar Pradesh","ACHCHHELAL","M","SC",42,"IND",2489,10,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"860","Lalganj","Uttar Pradesh","URMILA DEVI","F","SC",27,"IND",2408,11,658563,1509536,11,43.62684957,4613913,3878626,718692,"1019","70.93%","SP"
"861","Lucknow","Uttar Pradesh","LAL JI TANDON","M","GEN",73,"BJP",204028,1,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
"862","Lucknow","Uttar Pradesh","RITA BAHUGUNA JOSHI","F","GEN",59,"INC",163127,2,584055,1653123,41,35.33040191,4589838,3537787,985070,"917","77.29%","BJP"
