,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex Ratio (per 1000),Average Literacy,INCUMBENT_PARTY,Incumbency
129,DEWAS,Madhya Pradesh,BALRAM SUKHRAM KALYANE,M,SC,57,RWS,3186,10,783248,1297313,10,60.37463588,1563715,1376591,174259,942,69.35%,BJP,0
130,DHAR,Madhya Pradesh,GAJENDRA SINGH RAJUKHEDI,M,ST,45,INC,302660,1,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
131,DHAR,Madhya Pradesh,MUKAM SINGH KIRADE,M,ST,39,BJP,299999,2,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,1
132,DHAR,Madhya Pradesh,AJAY RAWAT,M,ST,27,BSP,16082,3,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
133,DHAR,Madhya Pradesh,HARIRAM PATEL DELMIWALA,M,ST,39,IND,11999,4,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
134,DHAR,Madhya Pradesh,MADAN BHAI AMLAWAR,M,ST,49,IND,5366,5,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
135,DHAR,Madhya Pradesh,BHIMA BHURIYA,M,ST,54,IND,5229,6,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
136,DHAR,Madhya Pradesh,JITENDRA SINGH BAGHEL,M,ST,31,GGP,3989,7,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
137,DHAR,Madhya Pradesh,KHUMAN SINGH BARIYA,M,ST,48,IND,3689,8,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
138,DHAR,Madhya Pradesh,KARAN SINGH,M,ST,45,IND,2671,9,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
139,DHAR,Madhya Pradesh,RAM SINGH PATEL,M,ST,65,SHS,1691,10,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
140,DHAR,Madhya Pradesh,BAPUSINGH BAGHEL,M,ST,31,RPI(A),1361,11,654926,1197172,11,54.70609069,2185793,2051219,116202,964,59%,BJP,0
141,GUNA,Madhya Pradesh,JYOTIRADITYA MADHAVRAO SCINDIA,M,GEN,38,INC,413297,1,649981,1202772,18,54.04025036,1241519,1172248,49203,912,63.23%,INC,1
